DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF TRADES
20-May-25,EQ,"1,928.10","1,934.60","1,913.00","1,938.70","1,917.10","1,914.90","1,918.55","1,978.90","1,448.15",11939545,"22,90,66,55,882.10",176524
19-May-25,EQ,"1,937.00","1,945.00","1,931.00","1,934.70","1,937.10","1,938.70","1,938.13","1,978.90","1,448.15",5101482,"9,88,73,38,159.20",156815
16-May-25,EQ,"1,933.80","1,943.80","1,928.40","1,933.80","1,934.50","1,934.70","1,933.50","1,978.90","1,430.30",7934005,"15,34,04,26,257.00",175140
15-May-25,EQ,"1,913.50","1,944.80","1,897.00","1,910.60","1,933.80","1,933.80","1,923.01","1,978.90","1,430.30",16120729,"31,00,03,29,957.90",224596
14-May-25,EQ,"1,922.10","1,930.20","1,903.00","1,922.60","1,913.50","1,910.60","1,914.76","1,978.90","1,430.30",7722654,"14,78,70,00,374.50",189542
13-May-25,EQ,"1,950.00","1,961.70","1,920.00","1,957.20","1,924.90","1,922.60","1,930.60","1,978.90","1,430.30",12121051,"23,40,09,36,924.40",234495
12-May-25,EQ,"1,917.60","1,959.90","1,912.30","1,889.70","1,956.40","1,957.20","1,948.86","1,978.90","1,430.30",9309486,"18,14,28,65,391.20",207249
09-May-25,EQ,"1,910.10","1,919.00","1,886.80","1,928.50","1,893.30","1,889.70","1,894.97","1,978.90","1,426.80",8594398,"16,28,61,44,558.60",292155
08-May-25,EQ,"1,954.80","1,954.80","1,919.10","1,945.60","1,921.50","1,928.50","1,933.80","1,978.90","1,426.80",17401715,"33,65,14,32,174.30",280256
07-May-25,EQ,"1,934.00","1,948.70","1,922.40","1,931.70","1,945.00","1,945.60","1,939.91","1,978.90","1,426.80",10710389,"20,77,71,45,511.00",178998
06-May-25,EQ,"1,930.00","1,940.10","1,924.30","1,936.80","1,928.60","1,931.70","1,931.89","1,978.90","1,426.80",8745078,"16,89,44,88,689.10",140830
05-May-25,EQ,"1,939.00","1,952.00","1,932.30","1,925.00","1,935.80","1,936.80","1,940.79","1,978.90","1,426.80",7534012,"14,62,19,40,034.00",160044
02-May-25,EQ,"1,929.80","1,941.90","1,920.00","1,925.00","1,923.50","1,925.00","1,930.63","1,978.90","1,426.80",11406024,"22,02,08,20,771.50",236285
30-Apr-25,EQ,"1,913.00","1,936.90","1,910.30","1,908.80","1,920.10","1,925.00","1,925.02","1,978.90","1,426.80",15968435,"30,73,94,92,241.20",275126
29-Apr-25,EQ,"1,918.80","1,928.80","1,900.20","1,920.20","1,906.00","1,908.80","1,909.52","1,978.90","1,426.80",9459154,"18,06,24,38,512.30",186299
28-Apr-25,EQ,"1,911.20","1,929.70","1,908.40","1,911.20","1,921.00","1,920.20","1,922.17","1,978.90","1,426.80",6960246,"13,37,87,45,824.70",155527
25-Apr-25,EQ,"1,924.80","1,933.00","1,891.80","1,916.80","1,908.00","1,911.20","1,911.37","1,978.90","1,426.80",9250439,"17,68,10,17,343.80",201781
24-Apr-25,EQ,"1,910.00","1,923.90","1,905.10","1,923.90","1,914.90","1,916.80","1,916.73","1,978.90","1,426.80",12965877,"24,85,20,91,752.80",227034
23-Apr-25,EQ,"1,978.90","1,978.90","1,920.50","1,961.70","1,920.70","1,923.90","1,939.04","1,978.90","1,426.80",15285321,"29,63,89,23,676.10",247823
22-Apr-25,EQ,"1,935.00","1,970.60","1,935.00","1,927.10","1,960.00","1,961.70","1,957.16","1,970.60","1,426.80",22980875,"44,97,72,15,852.40",512026
21-Apr-25,EQ,"1,924.00","1,950.70","1,910.00","1,906.70","1,925.20","1,927.10","1,930.83","1,950.70","1,426.80",17123649,"33,06,28,32,499.30",411337
17-Apr-25,EQ,"1,882.00","1,919.70","1,876.70","1,878.00","1,905.80","1,906.70","1,901.41","1,919.70","1,426.80",17851542,"33,94,31,68,763.20",394807
16-Apr-25,EQ,"1,883.80","1,883.80","1,860.50","1,864.90","1,875.90","1,878.00","1,874.15","1,883.80","1,426.80",9568410,"17,93,26,65,363.90",252887
15-Apr-25,EQ,"1,865.00","1,876.80","1,855.00","1,806.75","1,865.60","1,864.90","1,866.76","1,880.00","1,426.80",24649172,"46,01,41,08,976.00",360194
11-Apr-25,EQ,"1,774.75","1,819.40","1,774.75","1,765.00","1,805.20","1,806.75","1,803.31","1,880.00","1,426.80",16387883,"29,55,24,99,474.85",395826
09-Apr-25,EQ,"1,765.00","1,775.00","1,753.50","1,769.15","1,765.30","1,765.00","1,761.66","1,880.00","1,426.80",11227304,"19,77,87,28,957.55",207950
08-Apr-25,EQ,"1,765.00","1,782.00","1,750.30","1,757.70","1,770.15","1,769.15","1,769.16","1,880.00","1,426.80",17781936,"31,45,90,03,790.15",355184
